set_num,url,vector
4,/sports/mvball/2017-18/boxscores/20180223_jku3.xml,"[-0.6, -2.0, -0.6, 0.0, 1.0, 1.0, 2.0, 4.5, 4.0, 5.0]"
5,/sports/mvball/2017-18/boxscores/20180223_jku3.xml,"[-0.6666666666666666, -2.3333333333333335, -2.0, -1.0, 2.0, 2.3333333333333335, 2.0, 1.0, 1.5, 1.5]"
1,/sports/mvball/2017-18/boxscores/20180224_lnos.xml,"[0.2, 0.4, 1.0, 1.6, -0.2, -1.2, 1.4, 2.0, -0.2, -0.4]"
2,/sports/mvball/2017-18/boxscores/20180224_lnos.xml,"[-0.2, -4.0, -4.2, -1.6, -3.0, -2.5, 0.25, 2.0, -2.0, -2.5]"
3,/sports/mvball/2017-18/boxscores/20180224_lnos.xml,"[1.0, 2.8, 4.0, 4.5, 4.5, 6.5, 6.0, 7.5, 8.0, 7.5]"
4,/sports/mvball/2017-18/boxscores/20180224_lnos.xml,"[0.5, 2.5, 3.5, 5.0, 4.5, 5.5, 5.0, 5.0, 7.0, 8.0]"
5,/sports/mvball/2017-18/boxscores/20180224_lnos.xml,"[-0.6666666666666666, -3.0, -3.3333333333333335, -3.6666666666666665, -2.6666666666666665, -3.6666666666666665, -4.5, -3.5, -3.5, -3.5]"
1,/sports/mvball/2017-18/boxscores/20180224_vh33.xml,"[-0.6, -0.4, -2.6, -4.6, -4.0, -4.2, -1.6, -1.4, -1.6, -1.0]"
2,/sports/mvball/2017-18/boxscores/20180224_vh33.xml,"[-2.0, -1.0, -2.0, -3.5, -5.0, -7.0, -7.5, -8.0, -7.5, -10.0]"
3,/sports/mvball/2017-18/boxscores/20180224_vh33.xml,"[0.2, 2.0, 0.2, -2.8, -5.0, -4.5, -4.5, -4.5, -4.5, -5.5]"
1,/sports/mvball/2017-18/boxscores/20180228_3zsv.xml,"[1.8, 1.6, -0.6, -2.0, -2.6, -3.0, -2.5, -2.0, -4.5, -4.5]"
2,/sports/mvball/2017-18/boxscores/20180228_3zsv.xml,"[-0.6, -0.4, -0.6, 0.0, -0.6, 0.4, 1.4, 0.4, 0.5, 1.5]"
3,/sports/mvball/2017-18/boxscores/20180228_3zsv.xml,"[-0.6, -0.8, 1.4, 1.5, 1.5, -1.0, -2.5, -4.5, -5.0, -6.0]"
4,/sports/mvball/2017-18/boxscores/20180228_3zsv.xml,"[-1.4, -2.8, -2.6, -3.2, 0.2, -1.2, 0.2, 1.5, 1.5, 2.5]"
5,/sports/mvball/2017-18/boxscores/20180228_3zsv.xml,"[-0.6666666666666666, -1.6666666666666667, -3.3333333333333335, -3.0, -2.5, -2.5, -2.5, -2.5, -3.5, -5.5]"
1,/sports/mvball/2017-18/boxscores/20180302_t25b.xml,"[0.5, -1.5, -2.0, -1.0, -2.5, -5.5, -8.0, -8.5, -8.5, -8.5]"
2,/sports/mvball/2017-18/boxscores/20180302_t25b.xml,"[-1.0, 0.8, -0.5, -3.0, -4.0, -3.5, -6.5, -7.5, -5.5, -7.5]"
3,/sports/mvball/2017-18/boxscores/20180302_t25b.xml,"[-0.2, 0.0, 1.0, 1.6, 1.4, 0.4, -0.2, -1.6, 0.5, 2.0]"
4,/sports/mvball/2017-18/boxscores/20180302_t25b.xml,"[0.2, -0.4, -0.6, -0.4, -1.0, -0.4, 1.0, -0.5, -1.0, -3.5]"
1,/sports/mvball/2017-18/boxscores/20180307_yrnj.xml,"[-1.0, -2.25, -3.5, -3.5, -5.5, -6.5, -5.0, -6.5, -6.5, -9.0]"
2,/sports/mvball/2017-18/boxscores/20180307_yrnj.xml,"[1.0, 1.5, 3.5, 2.0, 1.0, 2.0, 2.5, 4.5, 6.0, 7.0]"
3,/sports/mvball/2017-18/boxscores/20180307_yrnj.xml,"[0.8333333333333334, 2.1666666666666665, -1.5, -1.1666666666666667, -0.8333333333333334, 0.16666666666666666, 1.8, 1.6, 0.2, -0.4]"
4,/sports/mvball/2017-18/boxscores/20180307_yrnj.xml,"[0.2, -1.2, -0.6, 0.4, -0.2, -1.6, 0.0, -1.0, -3.5, -4.0]"
